Site,Plot,Lat,Lon,NAVD88,,
Maine,1,43.76333,-69.77065,1.723,,-69.77065
Maine,7,43.74254,-69.8041,1.566,,
Maine,8,43.74079,-69.80331,1.588,,
Massachussettes,1,42.73648,-70.84354,1.356,,
Massachussettes,2,42.73481,-70.84209,1.137,,
Massachussettes,7,42.73981,-70.80199,1.459,,
Massachussettes,8,42.73282,-70.81929,1.372,,
Connecticut,1,41.30016,-72.35656,0.634,,
Connecticut,2,41.30024,-72.35692,0.615,,
Connecticut,8,41.29337,-72.33967,0.681,,
Delaware,3,39.24163,-75.1599,0.853,,
Delaware,5,39.17548,-74.85718,0.909,,
Delaware,9,39.20743,-75.40662,1.087,,
York,2,36.96332,-76.49417,0.505,,
York,3,37.22171,-76.40216,0.431,,
York,5,37.2982,-76.55528,0.263,,
James,2,36.96332,-76.49417,0.501,,
James,3,36.9607,-76.49183,0.579,,
James,4,36.95842,-76.49064,0.518,,
North Carolina,2,33.9521,-77.9757,0.481,,
North Carolina,4,33.9205,-77.9731,0.216,,
North Carolina,6,33.911,-77.9733,0.116,,
North Carolina,7,33.9098,-77.97,0.095,,
South Carolina,1,32.51264,-80.36991,0.752,,
South Carolina,5,32.53947,-80.37804,0.677,,
South Carolina,9,32.53934,-80.41499,0.803,,
South Carolina,10,32.5492,-80.4229,0.859,,
Geogria,3,31.31039,-81.34084,1.008,,
Geogria,5,31.32841,-81.37184,0.933,,
Geogria,6,31.32287,-81.34872,0.838,,
Geogria,9,31.33753,-81.36769,0.922,,
SERC,1,38.87504555,-76.54864734,0.2,,
SERC,6,38.87504555,-76.54864734,0.2,,
SERC,7,38.87504555,-76.54864734,0.2,,
SERC,16,38.87504555,-76.54864734,0.2,,
SERC,17,38.87504555,-76.54864734,0.2,,
FL-SG,G,30.01130078,-81.34398785,0.42,,
FL-GC,G,29.83602517,-81.29503911,0.6,,
FL-NM,G,29.72735237,-81.24019793,0.484,,
FL-SG,M,30.01130078,-81.34398785,0.42,,
FL-GC,M,29.83602517,-81.29503911,0.6,,
FL-NM,M,29.72735237,-81.24019793,0.484,,