core_id,ID,15N,N_perc
NM1GW,1,3.8938712,0.659428053
NM1GW,3,4.2437688,0.651772669
NM1GW,6,3.2789624,0.437976036
NM2GW,7,2.369442,0.851246986
NM2GW,9,2.6171655,0.317387839
NW2GW,12,1.6241985,0.487151197
NM3GW,13,3.4549464,0.633108066
NM3GW,15,2.9176776,0.495628225
NM3GW,18,2.4476968,0.308770487
NM4GW,19,2.0988344,0.56576129
NM4GW,21,2.055356,0.277998391
NM4GW,24,1.7789576,0.317149596
NM5GW,30,1.9715048,0.444144812
NM6GW,31,2.9891064,0.528010238
NM6GW,33,3.4414888,0.700481999
NM6GW,36,0.0284675,0.222583378
NM1GC,37,3.6047725,0.537139453
NM1GC,39,2.950255,0.469956476
NM1GC,42,2.6689905,0.58269808
NW2GC,43,2.342493,0.484945713
NW2GC,45,1.8667395,0.603678593
NM3GC_OL.10,49,2.2799944,0.376258004
NM3GC_OL.10,51,1.3524552,0.225474701
NM4GC,55,1.211668,0.217899523
NM4GC,57,0.656868,0.07401703
,66,1.1516936,0.111010964
NM5GC,66,3.3203704,1.015405498
NM6GC,67,1.7841336,0.24323803
NM6GC,69,0.6702584,0.137546911
NM6GC,72,2.0056664,0.28201302
NM1MW_O_Lay 23,73,3.316803,0.572121721
NM1MW,75,3.6578115,0.735592078
NM1MW,78,1.6681912,0.261807545
NM2MW,79,0.315099,0.180460018
NM2MW,81,2.3932815,1.126309685
NM2MW,84,0.8100776,0.09055344
NM3MW_O.13cm,85,3.078408,0.914349475
NM3MW_O_13cm,87,3.02451,0.503648004
NM3MW,90,2.169228,0.295613374
NM4MW,91,2.099952,0.361676491
NM4MW,93,1.861557,0.337836699
NM5MW,97,2.2958505,0.653931721
NM5MW,99,1.768272,0.299066514
NA,102,1.328796,0.469277684
NM6MW,103,3.4777208,0.534052677
NM6MW,105,3.08538,0.802327973
NM6MW,108,2.06866,0.360615458
NM1MC ,114,1.1329928,0.458108085
NM2MC_OL.15,115,2.33486,0.324492167
NM2MC_OL.15,117,2.6702648,1.058386154
NM2MC,120,2.69718,0.65178602
NM3MC_OL.20,121,2.396972,0.348314188
NM3MC_OL.20,123,2.6174696,0.72758453
NM3MC ,126,2.3483176,0.3088182
NM4MC,127,1.115277,0.459703982
NM4MC,129,1.5848115,0.461137397
NM4MC,132,0.0336776,0.074844301
NM5MC,133,2.3793736,0.588670885
NM5MC,135,2.9673672,0.859479661
NM5MC,138,1.4973832,0.347982364
NM6MC_OL.10,139,2.9311352,0.745091753
NM6MC_OL.10,141,3.21478,0.839851279
NM6MC,144,1.2415225,0.261489861
GC1GW_OL.15,145,3.551052,0.528409203
GC1GW_OL.15,147,3.559344,0.49528759
GC1GW,150,0.403244,0.108122973
GC2GW ,151,4.3648872,0.321181826
GC2GW,153,3.4652984,0.180882169
GC2GW,156,3.194496,0.188309554
GC3GW_OL.15,157,2.842086,0.399677741
GC3GW_OL.15,159,3.451548,0.575673726
GC3GW ,162,2.0004904,0.308085011
GC4GW,163,3.3054015,0.765295311
GC4GW,165,2.4782745,0.434751862
GC4GW,168,2.8183656,0.052893551
GC5GW_O.20,169,4.629012,0.322074021
GC5GW_O.20,171,3.7054905,0.221726394
GC5GW   ,174,2.3214024,0.17102357
GC6GW_O.15cm,175,2.929152,0.562845971
GC6GW_O.15cm,177,2.0159955,0.500338759
GC6GW ,180,0.1164264,0.216533647
GC1GC OLayer13,181,4.1350728,0.581508461
GC1GC OLayer13,183,2.6754408,0.321942368
GC1GC,186,3.0739928,0.207200106
GC2GC_OL.20,187,3.9269976,0.401847483
GC2GC_OL.20,189,3.9207864,0.348535932
GC2GC ,192,1.780355,0.115665994
GC3GC,198,0.9539032,0.110454912
GC4GC,199,2.3855848,0.671266497
GC4GC,201,2.5532872,0.799252661
,204,1.0242968,0.270041024
GC5GC,205,4.0226595,0.271302655
GC5GC,207,1.7278425,0.05097443
GC5GC,210,2.5708856,0.141438204
GC6GC_OL.10,211,2.4425208,0.51034042
GC6GC_OL.10,213,2.98186,0.671885216
GC6GC,216,1.8421048,0.488302402
GC1MW,217,1.3277595,0.189773701
GC1MW,219,0.418749,0.141688149
GC1MW,222,3.1247176,0.390908652
GC2MW,223,4.570968,0.358167608
GC2MW,225,3.718965,0.455028502
GC2MW,228,1.2955192,0.222073929
GC3MW,229,3.654702,0.524019323
GC3MW,231,2.5674135,0.31306314
GC3MW,234,0.269636,0.17027072
GC4MW_O.15cm,235,1.8916155,0.533533435
GC4MW,237,2.338347,0.61387906
GC4MW,240,0.922488,0.221021253
GC5MW_O.10cm,241,4.3750695,0.195625223
GC5MW_O.10cm,243,4.3854345,0.193527343
GC5MW,246,4.022236,0.149847151
GC6MW,247,2.193237,0.65261083
GC6MW,249,2.172507,0.474398776
GC6MW,252,1.5149816,0.320483438
GC1MC,253,2.479311,0.417296123
GC1MC,255,3.7531695,0.755339573
GC1MC,258,0.470532,0.126289486
GC2MC,259,3.42182,0.264754115
GC2MC,261,3.7230632,0.301079285
GC2MC,264,0.9849592,0.170914939
,265,3.3773064,0.437921011
GC3MC,265,1.9042168,0.236444728
,267,4.1371432,0.737588009
GC3MC,267,2.0636376,0.257052964
GC3MC,270,1.951836,0.410262929
GC4MC,271,2.428028,0.751042844
GC4MC,273,1.8576328,0.763545212
GC4MC,276,1.703388,0.438765592
GC5MC,277,4.9866045,0.402920734
GC5MC,279,5.317248,0.267333855
GC5MC,282,3.4135384,0.236746153
GC6MC_OL.10,283,1.9073224,0.611957757
GC6MC_OL.10,285,2.5905544,0.575150207
GTM M5,294,1.080205,0.32397846
GTM M3,301,1.2189175,0.316470072
GTM M3,303,0.70825,0.337797242
GTM M8,307,2.1087325,0.438073976
GTM M8,309,3.02629,0.531677149
GTM M8,312,5.0570525,0.059929495
SG6GW ,319,1.4259544,0.192797137
SG6GW,321,0.4270536,0.081596758
SG6GW,324,1.3576312,0.187119813
GTM M1,325,0.8510725,0.319110636
GTM M1,327,2.642005,0.44521517
GTM M4,337,1.4840125,0.409376538
GTM M4,339,2.09332,0.340997418
GTM M7,348,4.51556,0.051456346
SG6GC,355,0.637132,0.129577082
SG6GC,357,2.552252,0.205405686
SG6GC,360,1.2354776,0.103223425
SG2MW,372,3.5230605,0.057790778
SG3MW,373,1.3752296,0.456308906
SG3MW,375,3.0429368,0.416879315
SG3MW,378,0.992964,0.117726092
SG4MW,379,1.9476952,0.365200878
SG4MW,381,2.9373464,0.559307709
SG4MW,384,2.3974215,0.061203273
SG5MW,385,1.8048376,0.253928544
SG5MW,387,0.6029704,0.184696066
SG5MW,390,0.721407,0.136115697
SG1MC,397,2.9104312,0.521050476
SG1MC,399,2.0522504,0.461687666
SG1MC,402,2.601612,0.088817865
SC2MC,403,0.580443,0.244412253
SC2MC,405,2.0657475,0.379690672
SG2MC,408,2.3483848,0.077266269
SG3MC_O.20cm,409,1.3339785,0.328236289
SG3MC_O.20cm,411,0.6084285,0.320704185
SG3MC,414,0.455972,0.110797052
SG4MC,415,2.1735435,0.469100776
SG4MC,417,1.3878765,0.427943135
SG4MC,420,0.0740504,0.088255906
SG5MC,421,2.2212225,0.369752191
SG5MC,423,2.5321725,0.259721979
SG6MC_O.14cm,427,1.482198,0.361028611
SG6MC,429,1.1080215,0.243563376
SG6MC,432,3.5914695,0.067643225
,435,2.563915,0.364107409
,438,3.1767275,0.035967006
,439,0.973345,0.410850281
,441,1.93303,0.447395726
,444,1.39196,0.085390762
,447,1.5805975,0.098269626
,451,1.25899,0.309502354
,453,2.0573575,0.283186398
,456,2.4451475,0.067879582
,459,0.1928675,0.102593754
,460,3.0951325,0.756870428
,462,2.50432,0.736742668
,465,2.2499225,0.085326705
,466,1.8385,0.382004642
,468,1.02883,0.277416173
,469,1.2086425,0.340980462
,471,3.747595,0.578205739
,474,5.0200625,0.052889497
,475,1.66588,0.366953525
,496,1.577556,0.412911511
,505,1.8605205,0.433220688
,507,3.2556495,0.520030363
,510,0.319245,0.081057055
,511,1.567191,0.465142759
,513,2.4533985,0.519263649
,516,0.3575895,0.136657046
,534,1.6940712,0.147231311
,537,1.6019384,0.297919382
,538,0.9764275,0.45204578
,540,2.6533075,0.50118976
,541,0.3593225,0.099476397
,542,0.45077,0.085583498
,543,1.003565,0.128277282
,544,0.4318525,0.085459638
,545,1.866665,0.075984394
,546,2.2951325,0.068299599
,547,3.0924725,0.079088324
,548,0.89054,0.082590585
,549,2.5581725,0.045668225
,BT 1 Bulk,3.8246575,0.962828692
,BT2 Bulk,3.40441,1.010280231
,BT3 Bulk,3.9089125,0.997638975
,GTM B2,3.011905,1.377255734
,GTM B3,2.50843,1.109692469
,GTM B6,3.4527025,1.581201388
,GTM S1,1.113085,1.176440093
,GTM S5,1.0606825,1.179373655
,GTM S8,2.4210925,0.957654462
,SP1 Bulk,3.6335425,0.758156947
,SP2 Bulk,3.0766375,0.758554169
,SP3 Bulk,3.6684775,0.778857201